Priority,BlockID,Observer,ObjectName,ObjectType,RA,DEC,RAoffset,DECoffset,ROToffset,Filter1,Filter2,DitherType,DitherRadius,DitherPhase,DitherTotal,Images,IntegrationTime,Comment1,Comment2,dist
0,P16091,OU,16090,grid,02:31:38.8,+00:49:30.8,0.0,0.0,164365.2,Open,H,,0.0,0.0,1,1,10.0,"""""","""""",0.5715925091789809
0,P16407,OU,16406,grid,02:31:38.8,+01:57:52,0.0,0.0,164365.2,Open,H,,0.0,0.0,1,1,10.0,"""""","""""",0.6691984890795593
0,P16090,OU,16089,grid,02:27:05.4,+00:49:30.8,0.0,0.0,164365.2,Open,H,,0.0,0.0,1,1,10.0,"""""","""""",1.0324522309262472
0,P16406,OU,16405,grid,02:27:05.4,+01:57:52,0.0,0.0,164365.2,Open,H,,0.0,0.0,1,1,10.0,"""""","""""",1.0893635509016717
0,P16092,OU,16091,grid,02:36:12.2,+00:49:30.8,0.0,0.0,164365.2,Open,H,,0.0,0.0,1,1,10.0,"""""","""""",1.4771371659318782
0,P16408,OU,16407,grid,02:36:12.2,+01:57:52,0.0,0.0,164365.2,Open,H,,0.0,0.0,1,1,10.0,"""""","""""",1.5172857974190392
0,P15775,OU,15774,grid,02:31:38.8,-00:18:50.5,0.0,0.0,164365.2,Open,H,,0.0,0.0,1,1,10.0,"""""","""""",1.673720433166461
0,P16723,OU,16722,grid,02:31:38.8,+03:06:13.3,0.0,0.0,164365.2,Open,H,,0.0,0.0,1,1,10.0,"""""","""""",1.7789524608277514
0,P15774,OU,15773,grid,02:27:05.4,-00:18:50.5,0.0,0.0,164365.2,Open,H,,0.0,0.0,1,1,10.0,"""""","""""",1.8816849293743114
0,P16722,OU,16721,grid,02:27:05.4,+03:06:13.3,0.0,0.0,164365.2,Open,H,,0.0,0.0,1,1,10.0,"""""","""""",1.9756037228607068
0,P16089,OU,16088,grid,02:22:32,+00:49:30.8,0.0,0.0,164365.2,Open,H,,0.0,0.0,1,1,10.0,"""""","""""",2.097534967495935
0,P16405,OU,16404,grid,02:22:32,+01:57:52,0.0,0.0,164365.2,Open,H,,0.0,0.0,1,1,10.0,"""""","""""",2.125750439752172
0,P15776,OU,15775,grid,02:36:12.2,-00:18:50.5,0.0,0.0,164365.2,Open,H,,0.0,0.0,1,1,10.0,"""""","""""",2.1579976875719007
0,P16724,OU,16723,grid,02:36:12.2,+03:06:13.3,0.0,0.0,164365.2,Open,H,,0.0,0.0,1,1,10.0,"""""","""""",2.240005764983334
0,P16093,OU,16092,grid,02:40:45.7,+00:49:30.8,0.0,0.0,164365.2,Open,H,,0.0,0.0,1,1,10.0,"""""","""""",2.575598602690609
0,P16409,OU,16408,grid,02:40:45.7,+01:57:52,0.0,0.0,164365.2,Open,H,,0.0,0.0,1,1,10.0,"""""","""""",2.5984230283574394
0,P15773,OU,15772,grid,02:22:32,-00:18:50.5,0.0,0.0,164365.2,Open,H,,0.0,0.0,1,1,10.0,"""""","""""",2.622050389883815
0,P16721,OU,16720,grid,02:22:32,+03:06:13.3,0.0,0.0,164365.2,Open,H,,0.0,0.0,1,1,10.0,"""""","""""",2.689356803971067
0,P15459,OU,15458,grid,02:31:38.8,-01:27:11.8,0.0,0.0,164365.2,Open,H,,0.0,0.0,1,1,10.0,"""""","""""",2.8056599022708255
0,P17039,OU,17038,grid,02:32:07.5,+04:14:34.5,0.0,0.0,164365.2,Open,H,,0.0,0.0,1,1,10.0,"""""","""""",2.9240089918300503
